Sl_No,User_ID,Sponsor,Placement,Position,Package,Name,Email,Phone,Address,Bank,Branch,Account_Name,Account_No.,IFSC_Code,Aadhar,Pancard,Payeer,Paypal,Perfect_Money,PayTM,UPI,Status,Pay_Status,Epin,Date,Approved
1,FT1546339,,,,"Agriculture & Ayurveda","Agroconnect India Pvt Ltd ",Agroconnectcare@gmail.com,9109673091,"Ratanpur ","HDFC Bank","Ratanpur ","Agroconnect India Pvt Ltd ",5005000050000,Hdfc00056,,,7654,3456,123456,765443,7654335,Approved,Paid,,2023-12-05,
2,FT6453073,Ft1546339,Ft1546339,Left,"Agriculture & Ayurveda",Rupesh,rupesh@gmail.com,9644332696,Bsp,,,,,,,,,,,,,Approved,Paid,D3577B68E5C99CEF10FA17BF923234,2023-12-05,
3,FT2292764,Ft1546339,Ft1546339,Right,"Agriculture & Ayurveda",Kamal,kamal@gmail.com,7878654321,Kha,,,,,,,,,,,,,Approved,Paid,3143CA6A581BDDF8944692110FCB20,2023-12-05,
4,FT4041002,ft2292764,ft2292764,Left,"Agriculture & Ayurveda",Rajan,rashmikashyap017@gmail.com,9827332569,podimohada,,,,,,,,,,,,,Approved,Paid,F80C4564D809239DD1B6078A9D6E32,2023-12-05,
5,FT6953654,ft2292764,ft2292764,Right,"Agriculture & Ayurveda",Rameshwar,rameshwar@gmail.com,8120337733,hdhd,,,,,,,,,,,,,Approved,Paid,82043043AA75AF9D4EF17278FF8C76,2023-12-05,
6,FT6637702,ft6453073,ft6453073,Left,"Agriculture & Ayurveda",Kamlesh,kamlesh@gmail.com,7705288221,jajaja,,,,,,,,,,,,,Approved,Paid,B58A727EADF072E85193489F02E1D9,2023-12-05,
7,FT6796833,ft6453073,ft6453073,Right,"Agriculture & Ayurveda",Rahul,rahul@gmail.com,9877733322,kdjsdh,,,,,,,,,,,,,Approved,Paid,E57DEF7D63A7AE968529658D05EE4A,2023-12-05,
8,FT6431943,ft4041002,ft4041002,Left,"Agriculture & Ayurveda",Rajan,rajanji@gmail.com,9770665544,juhyg,,,,,,,,,,,,,Approved,Paid,53734176E6892C1B3624327A5A5544,2023-12-05,
9,FT6296907,ft4041002,ft4041002,Right,"Agriculture & Ayurveda",Manju,manju@gmail.com,7658764543,kiujyht,,,,,,,,,,,,,Approved,Paid,42A5A44424921C5033A486087528FB,2023-12-05,
10,FT6064793,ft6953654,ft6953654,Left,"Agriculture & Ayurveda",Kiran,kiran@gmail.com,9866655544,hgyt,,,,,,,,,,,,,Approved,Paid,E9D12E9E94B93FF2AE75475B0C5A17,2023-12-05,
11,FT4811055,ft6953654,ft6953654,Right,"Agriculture & Ayurveda",Laxmanji,laxmanji@gmail.com,9877663322,isjaha,,,,,,,,,,,,,Approved,Paid,4AF2594CAA6EA3CE39F6D776FE8434,2023-12-05,
12,FT4278694,ft6431943,ft6431943,Left,"Agriculture & Ayurveda",Sanjay,sanjay@gmail.com,7676554343,bsa,,,,,,,,,,,,,Approved,Paid,D4E52A546B5239F5EFCDE8F7528DFC,2023-12-06,
